"name","constant","operant","region","atlas_id"
"MFSq",-145.286705360794,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_LV","DKT40  "
"Philips",-628.181459714611,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_LV","DKT40  "
"PHILIPS_X_MFSq",277.028417874067,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_LV","DKT40  "
"RMSE",1229.03091905778,"RMSE","Rostral_middle_frontal_LV","DKT40  "
"sexq",34.8495899695065,"sexq * [gender]","Rostral_middle_frontal_LV","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_LV","DKT40  "
"agec1",-7.44761409031881,"agec1 * agec","Rostral_middle_frontal_RS","DKT40  "
"agec2",-0.0495445137096548,"agec2 * pow(agec, 2)","Rostral_middle_frontal_RS","DKT40  "
"agec3",0,"agec3 * pow(agec, 3)","Rostral_middle_frontal_RS","DKT40  "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Rostral_middle_frontal_RS","DKT40  "
"eTIVc1",0.00214975514553332,"eTIVc1 * eTIVc","Rostral_middle_frontal_RS","DKT40  "
"eTIVc2",9.37703805632455e-10,"eTIVc2 * pow(eTIVc, 2)","Rostral_middle_frontal_RS","DKT40  "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_RS","DKT40  "
"eTIVc_X_GE",0.000221107258778511,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_RS","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_RS","DKT40  "
"eTIVc_X_PHILIPS",-0.000203431404984703,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_RS","DKT40  "
"GE",-56.1024028748191,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_RS","DKT40  "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RS","DKT40  "
"Intercept",3742.92726903718,"Intercept","Rostral_middle_frontal_RS","DKT40  "
"MFSq",-32.6544049613809,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_RS","DKT40  "
"Philips",-83.6297169026597,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_RS","DKT40  "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RS","DKT40  "
"RMSE",450.061106962155,"RMSE","Rostral_middle_frontal_RS","DKT40  "
"sexq",75.7512692629891,"sexq * [gender]","Rostral_middle_frontal_RS","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_RS","DKT40  "
"agec1",-0.00299184807948729,"agec1 * agec","Rostral_middle_frontal_RT","DKT40  "
"agec2",7.21939565199473e-05,"agec2 * pow(agec, 2)","Rostral_middle_frontal_RT","DKT40  "
"agec3",-1.70580013309753e-06,"agec3 * pow(agec, 3)","Rostral_middle_frontal_RT","DKT40  "
"AGEc_X_SEXq",-0.000543120817308531,"AGEc_X_SEXq * agec * [gender]","Rostral_middle_frontal_RT","DKT40  "
"eTIVc1",-1.34439455715978e-08,"eTIVc1 * eTIVc","Rostral_middle_frontal_RT","DKT40  "
"eTIVc2",3.3650588278839e-14,"eTIVc2 * pow(eTIVc, 2)","Rostral_middle_frontal_RT","DKT40  "
"eTIVc3",4.3882851904063e-19,"eTIVc3 * pow(eTIVc, 3)","Rostral_middle_frontal_RT","DKT40  "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Rostral_middle_frontal_RT","DKT40  "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Rostral_middle_frontal_RT","DKT40  "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Rostral_middle_frontal_RT","DKT40  "
"GE",0.000470009956255816,"GE * G_[modality_manuf_id]","Rostral_middle_frontal_RT","DKT40  "
"GE_X_MFSq",0.0186781641335182,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RT","DKT40  "
"Intercept",2.26271107132616,"Intercept","Rostral_middle_frontal_RT","DKT40  "
"MFSq",0.0260265519635654,"MFSq * [magnetic_field_strength]","Rostral_middle_frontal_RT","DKT40  "
"Philips",0.0314965159074912,"Philips * P_[modality_manuf_id]","Rostral_middle_frontal_RT","DKT40  "
"PHILIPS_X_MFSq",0.033873121224753,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Rostral_middle_frontal_RT","DKT40  "
"RMSE",0.14378730820208,"RMSE","Rostral_middle_frontal_RT","DKT40  "
"sexq",-0.0360559984679275,"sexq * [gender]","Rostral_middle_frontal_RT","DKT40  "
"Volume",0,"[volume]","Rostral_middle_frontal_RT","DKT40  "
