"name","constant","operant","region","atlas_id"
"eTIVc2",5.01846846598386e-10,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_LV","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_LV","DK     "
"eTIVc_X_GE",-0.000117914025930487,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_LV","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_LV","DK     "
"eTIVc_X_PHILIPS",-0.000185603738224012,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_LV","DK     "
"GE",-87.9195084606259,"GE * G_[modality_manuf_id]","Banks_sts_LV","DK     "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LV","DK     "
"Intercept",2481.42743045924,"Intercept","Banks_sts_LV","DK     "
"MFSq",-82.2570969643842,"MFSq * [magnetic_field_strength]","Banks_sts_LV","DK     "
"Philips",-70.32532907261,"Philips * P_[modality_manuf_id]","Banks_sts_LV","DK     "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_LV","DK     "
"RMSE",401.755647128948,"RMSE","Banks_sts_LV","DK     "
"sexq",57.5983144334955,"sexq * [gender]","Banks_sts_LV","DK     "
"Volume",0,"[volume]","Banks_sts_LV","DK     "
"agec1",-1.26990634248814,"agec1 * agec","Banks_sts_RS","DK     "
"agec2",-0.013445167528831,"agec2 * pow(agec, 2)","Banks_sts_RS","DK     "
"agec3",0,"agec3 * pow(agec, 3)","Banks_sts_RS","DK     "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Banks_sts_RS","DK     "
"eTIVc1",0.00043037840607728,"eTIVc1 * eTIVc","Banks_sts_RS","DK     "
"eTIVc2",1.06964836737383e-10,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_RS","DK     "
"eTIVc3",-3.03312295604151e-16,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_RS","DK     "
"eTIVc_X_GE",6.80104914840692e-05,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_RS","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_RS","DK     "
"eTIVc_X_PHILIPS",-4.87118371243944e-05,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_RS","DK     "
"GE",-33.3723590931996,"GE * G_[modality_manuf_id]","Banks_sts_RS","DK     "
"GE_X_MFSq",0,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RS","DK     "
"Intercept",941.490409593691,"Intercept","Banks_sts_RS","DK     "
"MFSq",-15.4540017729954,"MFSq * [magnetic_field_strength]","Banks_sts_RS","DK     "
"Philips",-24.1664651751455,"Philips * P_[modality_manuf_id]","Banks_sts_RS","DK     "
"PHILIPS_X_MFSq",0,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RS","DK     "
"RMSE",120.467838031568,"RMSE","Banks_sts_RS","DK     "
"sexq",17.2940831989806,"sexq * [gender]","Banks_sts_RS","DK     "
"Volume",0,"[volume]","Banks_sts_RS","DK     "
"agec1",-0.00352138379441849,"agec1 * agec","Banks_sts_RT","DK     "
"agec2",0,"agec2 * pow(agec, 2)","Banks_sts_RT","DK     "
"agec3",0,"agec3 * pow(agec, 3)","Banks_sts_RT","DK     "
"AGEc_X_SEXq",-0.000590678735167372,"AGEc_X_SEXq * agec * [gender]","Banks_sts_RT","DK     "
"eTIVc1",1.23071102325246e-07,"eTIVc1 * eTIVc","Banks_sts_RT","DK     "
"eTIVc2",-1.24289563819846e-13,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_RT","DK     "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_RT","DK     "
"eTIVc_X_GE",-1.81042937782408e-08,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_RT","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_RT","DK     "
"eTIVc_X_PHILIPS",-8.9446480615526e-08,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_RT","DK     "
"GE",-0.0754568209372766,"GE * G_[modality_manuf_id]","Banks_sts_RT","DK     "
"GE_X_MFSq",0.126905294955234,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RT","DK     "
"Intercept",2.56473012675638,"Intercept","Banks_sts_RT","DK     "
"MFSq",-0.169043727608896,"MFSq * [magnetic_field_strength]","Banks_sts_RT","DK     "
"Philips",-0.018925183555527,"Philips * P_[modality_manuf_id]","Banks_sts_RT","DK     "
"PHILIPS_X_MFSq",0.135076576743329,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RT","DK     "
"RMSE",0.177990449181972,"RMSE","Banks_sts_RT","DK     "
"sexq",-0.0230914517163803,"sexq * [gender]","Banks_sts_RT","DK     "
"Volume",0,"[volume]","Banks_sts_RT","DK     "
"agec1",-5.45636936526111,"agec1 * agec","Banks_sts_RV","DK     "
"agec2",0.0170306921420924,"agec2 * pow(agec, 2)","Banks_sts_RV","DK     "
"agec3",-0.00227023194417503,"agec3 * pow(agec, 3)","Banks_sts_RV","DK     "
"AGEc_X_SEXq",0,"AGEc_X_SEXq * agec * [gender]","Banks_sts_RV","DK     "
"eTIVc1",0.0011170278722268,"eTIVc1 * eTIVc","Banks_sts_RV","DK     "
"eTIVc2",1.57171308367654e-10,"eTIVc2 * pow(eTIVc, 2)","Banks_sts_RV","DK     "
"eTIVc3",-8.9244965374724e-16,"eTIVc3 * pow(eTIVc, 3)","Banks_sts_RV","DK     "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Banks_sts_RV","DK     "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Banks_sts_RV","DK     "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Banks_sts_RV","DK     "
"GE",-140.904550734854,"GE * G_[modality_manuf_id]","Banks_sts_RV","DK     "
"GE_X_MFSq",58.7914009052919,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RV","DK     "
"Intercept",2350.43945756565,"Intercept","Banks_sts_RV","DK     "
"MFSq",-130.625983260509,"MFSq * [magnetic_field_strength]","Banks_sts_RV","DK     "
"Philips",-102.288314627581,"Philips * P_[modality_manuf_id]","Banks_sts_RV","DK     "
"PHILIPS_X_MFSq",86.8663318756872,"PHILIPS_X_MFSq * P_[modality_manuf_id] * [magnetic_field_strength]","Banks_sts_RV","DK     "
"RMSE",351.834620240817,"RMSE","Banks_sts_RV","DK     "
"sexq",25.4349634592821,"sexq * [gender]","Banks_sts_RV","DK     "
"Volume",0,"[volume]","Banks_sts_RV","DK     "
"agec1",-11.5120847982936,"agec1 * agec","Brain_Stem","SUBCOR "
"agec2",-1.17800709633099,"agec2 * pow(agec, 2)","Brain_Stem","SUBCOR "
"agec3",0.0117611163207512,"agec3 * pow(agec, 3)","Brain_Stem","SUBCOR "
"AGEc_X_SEXq",-10.3793193920591,"AGEc_X_SEXq * agec * [gender]","Brain_Stem","SUBCOR "
"eTIVc1",0.00959047730995072,"eTIVc1 * eTIVc","Brain_Stem","SUBCOR "
"eTIVc2",3.01031550800488e-09,"eTIVc2 * pow(eTIVc, 2)","Brain_Stem","SUBCOR "
"eTIVc3",0,"eTIVc3 * pow(eTIVc, 3)","Brain_Stem","SUBCOR "
"eTIVc_X_GE",0,"eTIVc_X_GE * eTIVc * G_[modality_manuf_id]","Brain_Stem","SUBCOR "
"eTIVc_X_MFSq",0,"eTIVc_X_MFSq * eTIVc * [magnetic_field_strength]","Brain_Stem","SUBCOR "
"eTIVc_X_PHILIPS",0,"eTIVc_X_PHILIPS * eTIVc * P_[modality_manuf_id]","Brain_Stem","SUBCOR "
"GE",-1152.74955883954,"GE * G_[modality_manuf_id]","Brain_Stem","SUBCOR "
"GE_X_MFSq",1303.71024455695,"GE_X_MFSq * G_[modality_manuf_id] * [magnetic_field_strength]","Brain_Stem","SUBCOR "
"Intercept",21408.0259203737,"Intercept","Brain_Stem","SUBCOR "
